C_DRS,DRS,C_RS,REG_SAUDE,IBGE 6,IBGE,MUNICIPIO,Parto Cesárea 2000,Parto Cesárea 2001,Parto Cesárea 2002,Parto Cesárea 2003,Parto Cesárea 2004,Parto Cesárea 2005,Parto Cesárea 2006,Parto Cesárea 2007,Parto Cesárea 2008,Parto Cesárea 2009,Nascidos Vivos 2000,Nascidos Vivos 2001,Nascidos Vivos 2002,Nascidos Vivos 2003,Nascidos Vivos 2004,Nascidos Vivos 2005,Nascidos Vivos 2006,Nascidos Vivos 2007,Nascidos Vivos 2008,Nascidos Vivos 2009,Taxa Cesárea 2000,Taxa Cesárea 2001,Taxa Cesárea 2002,Taxa Cesárea 2003,Taxa Cesárea 2004,Taxa Cesárea 2005,Taxa Cesárea 2006,Taxa Cesárea 2007,Taxa Cesárea 2008,Taxa Cesárea 2009,,,,,
3509,MARÍLIA,35091,ADAMANTINA ,350010,3500105,Adamantina,243,249,286,254,295,306,296,302,305,310,430,398,404,353,414,386,367,364,350, 344 , 56.51 , 62.56 , 70.79 , 71.95 , 71.26 , 79.27 , 80.65 , 82.97 , 87.14 , 90.12 ,,,,,
3515,S. JOSÉ R. PRETO,35156,JOSÉ BONIFÁCIO,350020,3500204,Adolfo,32,29,16,31,28,30,29,21,27,21,56,46,31,41,35,42,35,33,32, 36 , 57.14 , 63.04 , 51.61 , 75.61 , 80.00 , 71.43 , 82.86 , 63.64 , 84.38 , 58.33 ,,,,,
3514,S. JOÃO B. VISTA ,35142,MANTIQUEIRA,350030,3500303,Aguaí,271,245,227,230,243,262,273,273,285,300,558,499,497,491,469,490,523,481,474, 458 , 48.57 , 49.10 , 45.67 , 46.84 , 51.81 , 53.47 , 52.20 , 56.76 , 60.13 , 65.50 ,,,,,
3514,S. JOÃO B. VISTA ,35142,MANTIQUEIRA,350040,3500402,Águas da Prata,41,48,34,32,27,32,45,44,50,46,81,84,78,80,61,73,69,92,82, 92 , 50.62 , 57.14 , 43.59 , 40.00 , 44.26 , 43.84 , 65.22 , 47.83 , 60.98 , 50.00 ,,,,,
3507,CAMPINAS,35072,CAMPINAS,350050,3500501,Águas de Lindóia,110,123,78,119,121,147,156,139,159,147,261,261,225,246,247,296,281,250,268, 233 , 42.15 , 47.13 , 34.67 , 48.37 , 48.99 , 49.66 , 55.52 , 55.60 , 59.33 , 63.09 ,,,,,
3506,BAURU,35061,AVARÉ,350055,3500550,Águas de Santa Bárbara,28,32,48,35,31,37,30,40,33,33,69,75,98,74,78,72,72,90,76, 60 , 40.58 , 42.67 , 48.98 , 47.30 , 39.74 , 51.39 , 41.67 , 44.44 , 43.42 , 55.00 ,,,,,
3510,PIRACICABA,35103,PIRACICABA,350060,3500600,Águas de São Pedro,7,22,13,20,17,16,18,19,17,27,19,25,22,30,23,21,31,27,22, 40 , 36.84 , 88.00 , 59.09 , 66.67 , 73.91 , 76.19 , 58.06 , 70.37 , 77.27 , 67.50 ,,,,,
3506,BAURU,35062,BAURU,350070,3500709,Agudos,176,278,246,252,262,287,323,352,311,315,591,578,552,495,485,506,530,502,494, 482 , 29.78 , 48.10 , 44.57 , 50.91 , 54.02 , 56.72 , 60.94 , 70.12 , 62.96 , 65.35 ,,,,,
3516,SOROCABA,35161,ITAPETININGA,350075,3500758,Alambari,21,33,35,17,27,24,25,22,40,37,49,66,74,48,51,52,56,47,66, 64 , 42.86 , 50.00 , 47.30 , 35.42 , 52.94 , 46.15 , 44.64 , 46.81 , 60.61 , 57.81 ,,,,,
3511,PRESIDENTE PRUDENTE,35112,ALTA SOROCABANA,350080,3500808,Alfredo Marcondes,26,32,23,34,18,32,35,27,27,24,36,42,33,48,26,45,49,32,33, 31 , 72.22 , 76.19 , 69.70 , 70.83 , 69.23 , 71.11 , 71.43 , 84.38 , 81.82 , 77.42 ,,,,,
3505,BARRETOS,35051,NORTE-BARRETOS,350090,3500907,Altair,36,28,32,39,40,31,34,42,39,36,53,49,47,50,55,45,59,57,58, 49 , 67.92 , 57.14 , 68.09 , 78.00 , 72.73 , 68.89 , 57.63 , 73.68 , 67.24 , 73.47 ,,,,,
3513,RIBEIRÃO PRETO,35133,VALE DAS CACHOEIRAS,350100,3501004,Altinópolis,128,145,115,128,120,122,113,110,114,91,253,253,238,238,233,206,213,192,192, 180 , 50.59 , 57.31 , 48.32 , 53.78 , 51.50 , 59.22 , 53.05 , 57.29 , 59.38 , 50.56 ,,,,,
3502,ARAÇATUBA,35023,DOS CONSÓRCIOS DO DRS II,350110,3501103,Alto Alegre,25,30,27,26,30,26,33,34,32,38,46,47,41,49,49,36,45,45,43, 54 , 54.35 , 63.83 , 65.85 , 53.06 , 61.22 , 72.22 , 73.33 , 75.56 , 74.42 , 70.37 ,,,,,
3516,SOROCABA,35163,SOROCABA,350115,3501152,Alumínio,198,173,203,195,201,219,199,186,200,208,315,291,311,303,311,303,263,266,267, 284 , 62.86 , 59.45 , 65.27 , 64.36 , 64.63 , 72.28 , 75.67 , 69.92 , 74.91 , 73.24 ,,,,,
