data,Artista,Posicao_anterior,Album,Posicao
"June 11, 2016","Nathaniel Rateliff & The Night Sweats","183","","170"
"June 11, 2016","Future","44","","46"
"June 11, 2016","Old Dominion","87","","81"
"June 11, 2016","Alisan Porter","null","The Voice: The Complete Season 10 Collection",""
"June 11, 2016","Imagine Dragons","123","Night Visions",""
"June 11, 2016","Chance The Rapper","8","","17"
"June 11, 2016","Billy Joel","null","","175"
"June 11, 2016","Bob Dylan","null","","7"
"June 11, 2016","Five Finger Death Punch","159","","163"
"June 11, 2016","Prince","41","","77"
"June 11, 2016","Blake Shelton","null","If I'm Honest",""
"June 11, 2016","The Chainsmokers","102","","106"
"June 11, 2016","Fetty Wap","40","Fetty Wap",""
"June 11, 2016","The Beatles","116","1",""
"June 11, 2016","Jeremih","49","Late Nights: The Album",""
"June 11, 2016","Future","32","EVOL",""
"June 11, 2016","A$AP Rocky","191","","197"
"June 11, 2016","Eminem","192","Recovery",""
"June 11, 2016","Logic","null","","199"
"June 11, 2016","Elton John","null","","198"
"June 11, 2016","P!nk","null","","184"
"June 11, 2016","Maroon 5","119","V",""
"June 11, 2016","Eric Church","78","","86"
"June 11, 2016","gnash","122","","102"
"June 11, 2016","Corinne Bailey Rae","31","","127"
"June 11, 2016","Creedence Clearwater Revival","174","","168"
"June 11, 2016","David Bowie","140","Best Of Bowie",""
"June 11, 2016","Selena Gomez","55","Revival",""
"June 11, 2016","Billy Joel","null","The Hits",""
"June 11, 2016","Keith Urban","6","","18"
"June 11, 2016","Michael Jackson","166","Off The Wall",""
"June 11, 2016","Guns N' Roses","99","","110"
"June 11, 2016","Eric Clapton","null","","6"
"June 11, 2016","Ty Dolla $ign","129","","138"
"June 11, 2016","Hannah Huston","null","","51"
"June 11, 2016","Hozier","113","","119"
"June 11, 2016","P!nk","null","Greatest Hits... So Far!!!",""
"June 11, 2016","A$AP Rocky","168","AT.LONG.LAST.A$AP",""
"June 11, 2016","Kendrick Lamar","117","","134"
"June 11, 2016","Young Thug","114","","117"
"June 11, 2016","Logic","null","Under Pressure",""
"June 11, 2016","Chris Young","100","I'm Comin' Over",""
"June 11, 2016","Soundtrack","69","","111"
"June 11, 2016","Old Dominion","87","Meat And Candy",""
"June 11, 2016","Jeremih","49","","65"
"June 11, 2016","G-Eazy","22","","26"
"June 11, 2016","NF","148","Therapy Session",""
"June 11, 2016","Various Artists","63","NOW 57",""
"June 11, 2016","Usher","186","","200"
"June 11, 2016","Sick Puppies","null","Fury",""
"June 11, 2016","Sixx: A.M.","null","Prayers For The Damned, Vol. 1",""
"June 11, 2016","Against The Current","null","","181"
"June 11, 2016","Ruth B","60","The Intro (EP)",""
"June 11, 2016","Beyonce","111","","141"
"June 11, 2016","Tom Petty And The Heartbreakers","155","","121"
"June 11, 2016","Yo Gotti","80","The Art Of Hustle",""
"June 11, 2016","One Direction","94","Made In The A.M.",""
"June 11, 2016","Adam Wakefield","null","The Voice: The Complete Season 10 Collection",""
"June 11, 2016","Five Finger Death Punch","187","","186"
"June 11, 2016","Kendrick Lamar","110","To Pimp A Butterfly",""
"June 11, 2016","Drake & Future","35","","39"
"June 11, 2016","Blake Shelton","null","","3"
"June 11, 2016","X Ambassadors","86","VHS",""
"June 11, 2016","Eminem","136","Curtain Call: The Hits",""
"June 11, 2016","Nicki Minaj","101","","108"
"June 11, 2016","Ziggy Marley","null","Ziggy Marley",""
"June 11, 2016","Selena Gomez","55","","58"
"June 11, 2016","Tiger Army","null","V...",""
"June 11, 2016","Chris Young","100","","118"
"June 11, 2016","Ellie Goulding","107","Delirium",""
"June 11, 2016","Hozier","113","Hozier",""
"June 11, 2016","Michael Jackson","127","Thriller",""
"June 11, 2016","Grace","163","","162"
"June 11, 2016","Daya","108","","115"
"June 11, 2016","Blake Shelton","68","","47"
"June 11, 2016","Future","44","DS2",""
"June 11, 2016","Jennifer Nettles","10","","30"
"June 11, 2016","Fetty Wap","40","","42"
"June 11, 2016","Logic","141","The Incredible True Story",""
"June 11, 2016","Sam Smith","81","","94"
"June 11, 2016","Tori Kelly","169","","173"
"June 11, 2016","Major Lazer","82","","85"
"June 11, 2016","Coldplay","79","","88"
"June 11, 2016","Panic! At The Disco","179","Too Weird To Live, Too Rare To Die!",""
"June 11, 2016","Saosin","null","","45"
"June 11, 2016","Travi$ Scott","167","Rodeo",""
"June 11, 2016","NF","148","","176"
"June 11, 2016","Bob Marley And The Wailers","72","Legend: The Best Of...",""
"June 11, 2016","Eric Church","78","Mr. Misunderstood",""
"June 11, 2016","Katatonia","null","The Fall Of Hearts",""
"June 11, 2016","Kevin Gates","193","","193"
"June 11, 2016","Cole Swindell","12","You Should Be Here",""
"June 11, 2016","Simon & Garfunkel","null","","129"
"June 11, 2016","Sia","28","","21"
"June 11, 2016","Red Hot Chili Peppers","144","","151"
"June 11, 2016","Beyonce","2","Lemonade",""
"June 11, 2016","Sturgill Simpson","93","A Sailor's Guide To Earth",""
"June 11, 2016","Lukas Graham","24","","24"
"June 11, 2016","Eagles","158","","171"
"June 11, 2016","Chris Brown","92","Royalty",""
"June 11, 2016","Creedence Clearwater Revival","174","Chronicle The 20 Greatest Hits",""
"June 11, 2016","J. Cole","47","2014 Forest Hills Drive",""
"June 11, 2016","Meghan Trainor","36","Title",""
"June 11, 2016","Prince","90","","155"
"June 11, 2016","Drake","1","","1"
"June 11, 2016","Various Artists","23","","31"
"June 11, 2016","Hannah Huston","null","The Voice: The Complete Season 10 Collection",""
"June 11, 2016","Troye Sivan","59","Blue Neighbourhood",""
"June 11, 2016","Prince","41","1999",""
"June 11, 2016","Meghan Trainor","3","Thank You",""
"June 11, 2016","Adam Wakefield","null","","34"
"June 11, 2016","Usher","186","Confessions",""
"June 11, 2016","A$AP Ferg","105","Always Strive And Prosper",""
"June 11, 2016","2Pac","125","","133"
"June 11, 2016","Death","null","","174"
"June 11, 2016","Drake","42","","50"
"June 11, 2016","gnash","122","us",""
"June 11, 2016","The Lumineers","34","","37"
"June 11, 2016","Eminem","176","The Marshall Mathers LP 2",""
"June 11, 2016","Santana","143","Santana IV",""
"June 11, 2016","Daya","108","Daya (EP)",""
"June 11, 2016","Sixx: A.M.","null","","192"
"June 11, 2016","The Notorious B.I.G.","194","","156"
"June 11, 2016","Eminem","136","","144"
"June 11, 2016","Blink-182","157","","167"
"June 11, 2016","Disturbed","39","","25"
"June 11, 2016","Bruno Mars","134","","146"
"June 11, 2016","Big Sean","132","Dark Sky Paradise",""
"June 11, 2016","OneRepublic","190","Native",""
"June 11, 2016","Fall Out Boy","98","American Beauty / American Psycho",""
"June 11, 2016","Merle Haggard","124","","169"
"June 11, 2016","G-Eazy","22","When It's Dark Out",""
"June 11, 2016","Demi Lovato","130","Confident",""
"June 11, 2016","Melanie Martinez","37","Cry Baby",""
"June 11, 2016","Childish Gambino","null","Because The Internet",""
"June 11, 2016","Nathaniel Rateliff & The Night Sweats","183","Nathaniel Rateliff & The Night Sweats",""
"June 11, 2016","A$AP Rocky","168","","160"
"June 11, 2016","Lauren Daigle","61","","76"
"June 11, 2016","Bryson Tiller","21","","23"
"June 11, 2016","James Bay","46","Chaos And The Calm",""
"June 11, 2016","Prince","7","","12"
"June 11, 2016","The 1975","103","I Like It When You Sleep, For You Are So Beautiful Yet So Unaware Of It",""
"June 11, 2016","Kevin Gates","18","","15"
"June 11, 2016","Justin Bieber","16","","14"
"June 11, 2016","Kelsea Ballerini","104","","109"
"June 11, 2016","Florida Georgia Line","106","","103"
"June 11, 2016","Michael Jackson","127","","150"
"June 11, 2016","Kelly Clarkson","162","Piece By Piece",""
"June 11, 2016","Drake","57","","68"
"June 11, 2016","Meghan Trainor","36","","60"
"June 11, 2016","Prince","90","The Hits/The B-Sides",""
"June 11, 2016","Childish Gambino","null","","194"
"June 11, 2016","Kanye West","20","The Life Of Pablo",""
"June 11, 2016","Beyonce","111","4",""
"June 11, 2016","Bruno Mars","134","Doo-Wops & Hooligans",""
"June 11, 2016","Carrie Underwood","58","","71"
"June 11, 2016","Florida Georgia Line","97","","104"
"June 11, 2016","Drake & Future","35","What A Time To Be Alive",""
"June 11, 2016","Lauren Daigle","61","How Can It Be",""
"June 11, 2016","The Lumineers","34","Cleopatra",""
"June 11, 2016","Imagine Dragons","123","","132"
"June 11, 2016","Young Thug","114","Slime Season 3",""
"June 11, 2016","Ariana Grande","164","My Everything",""
"June 11, 2016","Ruth B","60","","61"
"June 11, 2016","Rihanna","5","","5"
"June 11, 2016","Coldplay","79","A Head Full Of Dreams",""
"June 11, 2016","Demi Lovato","130","","116"
"June 11, 2016","Kevin Gates","18","Islah",""
"June 11, 2016","Shawn Mendes","91","Handwritten",""
"June 11, 2016","Beyonce","126","I Am...Sasha Fierce",""
"June 11, 2016","Alessia Cara","64","","67"
"June 11, 2016","Red Hot Chili Peppers","144","Greatest Hits",""
"June 11, 2016","Thomas Rhett","33","Tangled Up",""
"June 11, 2016","2Pac","125","Greatest Hits",""
"June 11, 2016","Luke Bryan","51","","56"
"June 11, 2016","Various Artists","63","","66"
"June 11, 2016","Elle King","120","","122"
"June 11, 2016","Halsey","52","Badlands",""
"June 11, 2016","Kendrick Lamar","83","good kid, m.A.A.d city",""
"June 11, 2016","Various Artists","50","OWSLA World Wide Broadcast",""
"June 11, 2016","Kygo","11","","63"
"June 11, 2016","Sam Hunt","38","Montevallo",""
"June 11, 2016","Drake","1","Views",""
"June 11, 2016","Adele","67","21",""
"June 11, 2016","Nirvana","151","Nevermind",""
"June 11, 2016","Against The Current","null","In Our Bones",""
"June 11, 2016","Mudcrutch","null","2",""
"June 11, 2016","J. Cole","47","","53"
"June 11, 2016","Kiiara","153","","148"
"June 11, 2016","Lana Del Rey","146","Born To Die",""
"June 11, 2016","Soundtrack","69","Empire: Original Soundtrack Season 2, Volume 2",""
"June 11, 2016","Chance The Rapper","8","Coloring Book",""
"June 11, 2016","Florida Georgia Line","97","Anything Goes",""
"June 11, 2016","The Chainsmokers","102","Bouquet (EP)",""
"June 11, 2016","Yo Gotti","80","","97"
"June 11, 2016","Kelsea Ballerini","104","The First Time",""
"June 11, 2016","Rachel Platten","118","","131"
"June 11, 2016","twenty one pilots","54","","62"
"June 11, 2016","Chris Stapleton","13","","13"
"June 11, 2016","Elton John","null","Greatest Hits 1970-2002",""
"June 11, 2016","Ed Sheeran","66","","70"
"June 11, 2016","Original Broadway Cast","17","Hamilton: An American Musical",""
"June 11, 2016","The Weeknd","27","","22"
"June 11, 2016","The Weeknd","150","Trilogy",""
"June 11, 2016","Tim McGraw","71","","73"
"June 11, 2016","Gwen Stefani","85","This Is What The Truth Feels Like",""
"June 11, 2016","Flo Rida","56","","64"
"June 11, 2016","Queen","89","Greatest Hits I II & III: The Platinum Collection",""
"June 11, 2016","The Weeknd","27","Beauty Behind The Madness",""
"June 11, 2016","Gwen Stefani","85","","82"
"June 11, 2016","A$AP Rocky","191","Long.Live.A$AP",""
"June 11, 2016","Journey","96","Journey's Greatest Hits",""
"June 11, 2016","Rob Zombie","121","","183"
"June 11, 2016","Ed Sheeran","66","x",""
"June 11, 2016","Third Eye Blind","74","","143"
"June 11, 2016","Shawn Mendes","91","","91"
"June 11, 2016","Katatonia","null","","188"
"June 11, 2016","Kevin Gates","193","Luca Brasi 2: A Gangsta Grillz Special Edition",""
"June 11, 2016","G-Eazy","84","These Things Happen",""
"June 11, 2016","Eminem","176","","165"
"June 11, 2016","Grace","163","Memo (EP)",""
"June 11, 2016","Taylor Swift","26","","41"
"June 11, 2016","Elle King","120","Love Stuff",""
"June 11, 2016","DNCE","75","Swaay (EP)",""
"June 11, 2016","Merle Haggard","124","20 Greatest Hits",""
"June 11, 2016","Various Artists","null","Day Of The Dead",""
"June 11, 2016","Radiohead","9","A Moon Shaped Pool",""
"June 11, 2016","Metallica","112","","130"
"June 11, 2016","Meghan Trainor","3","","8"
"June 11, 2016","Beyonce","126","","152"
"June 11, 2016","Guns N' Roses","99","Greatest Hits",""
"June 11, 2016","Justin Timberlake","160","","177"
"June 11, 2016","Issues","null","Headspace",""
"June 11, 2016","Prince And The Revolution","19","Purple Rain (Soundtrack)",""
"June 11, 2016","Meek Mill","null","","190"
"June 11, 2016","Rob Zombie","121","Electric Warlock Acid Witch Satanic Orgy Celebration Dispenser",""
"June 11, 2016","Drake","65","Nothing Was The Same",""
"June 11, 2016","Joey + Rory","76","Hymns",""
"June 11, 2016","Panic! At The Disco","45","Death Of A Bachelor",""
"June 11, 2016","Drake","42","If You're Reading This It's Too Late",""
"June 11, 2016","Kiiara","153","Low Kii Savage (EP)",""
"June 11, 2016","Montana Of 300","null","","95"
"June 11, 2016","Kanye West","20","","19"
"June 11, 2016","Alessia Cara","64","Know-It-All",""
"June 11, 2016","J. Cole","182","","178"
"June 11, 2016","Santana","143","","158"
"June 11, 2016","Logic","141","","164"
"June 11, 2016","twenty one pilots","54","Vessel",""
"June 11, 2016","Nirvana","151","","172"
"June 11, 2016","Webbie","null","","153"
"June 11, 2016","Various Artists","23","NOW 58",""
"June 11, 2016","Tiger Army","null","","75"
"June 11, 2016","The Notorious B.I.G.","194","Greatest Hits",""
"June 11, 2016","twenty one pilots","14","","11"
"June 11, 2016","Prince","73","","79"
"June 11, 2016","Zayn","30","Mind Of Mine",""
"June 11, 2016","Ed Sheeran","null","+",""
"June 11, 2016","Blake Shelton","68","Reloaded: 20 #1 Hits",""
"June 11, 2016","Kanye West","196","Graduation",""
"June 11, 2016","Ty Dolla $ign","129","Free TC",""
"June 11, 2016","Radiohead","9","","36"
"June 11, 2016","twenty one pilots","14","Blurryface",""
"June 11, 2016","Florida Georgia Line","106","Here's To The Good Times",""
"June 11, 2016","G-Eazy","84","","90"
"June 11, 2016","Eagles","158","Their Greatest Hits 1971-1975",""
"June 11, 2016","Major Lazer","82","Peace Is The Mission",""
"June 11, 2016","One Direction","94","","100"
"June 11, 2016","Shinedown","null","Threat To Survival",""
"June 11, 2016","Travi$ Scott","167","","161"
"June 11, 2016","Mike Posner","29","","40"
"June 11, 2016","Cole Swindell","12","","28"
"June 11, 2016","Flo Rida","56","My House (EP)",""
"June 11, 2016","2 Chainz","133","ColleGrove",""
"June 11, 2016","Thomas Rhett","33","","29"
"June 11, 2016","Issues","null","","20"
"June 11, 2016","Ed Sheeran","null","","195"
"June 11, 2016","Alisan Porter","null","","27"
"June 11, 2016","DNCE","75","","55"
"June 11, 2016","Panic! At The Disco","179","","157"
"June 11, 2016","Barenaked Ladies","null","","101"
"June 11, 2016","Eagles","154","The Very Best Of The Eagles",""
"June 11, 2016","Bob Dylan","null","Fallen Angels",""
"June 11, 2016","Bob Marley And The Wailers","72","","83"
"June 11, 2016","Nicki Minaj","101","The Pinkprint",""
"June 11, 2016","Future","32","","33"
"June 11, 2016","Webbie","null","Savage Life V",""
"June 11, 2016","Kendrick Lamar","83","","89"
"June 11, 2016","Taylor Swift","26","1989",""
"June 11, 2016","Prince","7","The Very Best Of Prince",""
"June 11, 2016","OneRepublic","190","","196"
"June 11, 2016","Third Eye Blind","74","Third Eye Blind",""
"June 11, 2016","Dustin Lynch","195","","189"
"June 11, 2016","Rae Sremmurd","142","","145"
"June 11, 2016","Maroon 5","119","","126"
"June 11, 2016","Mudcrutch","null","","10"
"June 11, 2016","Zac Brown Band","149","","128"
"June 11, 2016","Panic! At The Disco","45","","54"
"June 11, 2016","Sam Smith","81","In The Lonely Hour",""
"June 11, 2016","Sia","147","","125"
"June 11, 2016","Justin Timberlake","160","The 20/20 Experience (2 Of 2)",""
"June 11, 2016","Tori Kelly","169","Unbreakable Smile",""
"June 11, 2016","Carrie Underwood","58","Storyteller",""
"June 11, 2016","Kygo","11","Cloud Nine",""
"June 11, 2016","Drake","65","","72"
"June 11, 2016","Sia","28","This Is Acting",""
"June 11, 2016","Pierce The Veil","4","Misadventures",""
"June 11, 2016","Zac Brown Band","149","JEKYLL + HYDE",""
"June 11, 2016","Corinne Bailey Rae","31","The Heart Speaks In Whispers",""
"June 11, 2016","Michael Jackson","166","","179"
"June 11, 2016","2 Chainz","133","","135"
"June 11, 2016","Luke Bryan","51","Kill The Lights",""
"June 11, 2016","Death","null","Scream Bloody Gore",""
"June 11, 2016","Lana Del Rey","146","","149"
"June 11, 2016","Justin Bieber","16","Purpose",""
"June 11, 2016","The 1975","103","","139"
"June 11, 2016","Halsey","52","","52"
"June 11, 2016","Drake","57","Take Care",""
"June 11, 2016","Zayn","30","","35"
"June 11, 2016","Eagles","154","","166"
"June 11, 2016","Big Sean","132","","136"
"June 11, 2016","Eminem","115","The Eminem Show",""
"June 11, 2016","Rihanna","5","ANTI",""
"June 11, 2016","Prince And The Revolution","19","","32"
"June 11, 2016","AC/DC","171","","154"
"June 11, 2016","Tom Petty And The Heartbreakers","155","Greatest Hits",""
"June 11, 2016","Saosin","null","Along The Shadow",""
"June 11, 2016","Beyonce","77","Beyonce",""
"June 11, 2016","Car Seat Headrest","null","","180"
"June 11, 2016","Jennifer Nettles","10","Playing With Fire",""
"June 11, 2016","Car Seat Headrest","null","Teens Of Denial",""
"June 11, 2016","Carrie Underwood","109","","124"
"June 11, 2016","Sam Hunt","38","","38"
"June 11, 2016","Keith Urban","6","Ripcord",""
"June 11, 2016","Kendrick Lamar","110","","113"
"June 11, 2016","Ellie Goulding","107","","112"
"June 11, 2016","Dustin Lynch","195","Where It's At",""
"June 11, 2016","Beyonce","2","","4"
"June 11, 2016","Disturbed","39","Immortalized",""
"June 11, 2016","The Weeknd","150","","142"
"June 11, 2016","Lukas Graham","24","Lukas Graham",""
"June 11, 2016","Joey + Rory","76","","84"
"June 11, 2016","Prince","73","Ultimate",""
"June 11, 2016","Eminem","192","","182"
"June 11, 2016","Eric Clapton","null","I Still Do",""
"June 11, 2016","X Ambassadors","86","","80"
"June 11, 2016","Adele","15","25",""
"June 11, 2016","Kendrick Lamar","117","untitled unmastered.",""
"June 11, 2016","Troye Sivan","59","","69"
"June 11, 2016","Kelly Clarkson","162","","191"
"June 11, 2016","Adele","15","","9"
"June 11, 2016","A$AP Ferg","105","","123"
"June 11, 2016","Pierce The Veil","4","","48"
"June 11, 2016","Laith Al-Saadi","null","","44"
"June 11, 2016","Ziggy Marley","null","","99"
"June 11, 2016","Melanie Martinez","37","","43"
"June 11, 2016","Bryson Tiller","21","T R A P S O U L",""
"June 11, 2016","Ariana Grande","164","","147"
"June 11, 2016","James Bay","46","","57"
"June 11, 2016","Simon & Garfunkel","null","The Best Of Simon & Garfunkel",""
"June 11, 2016","Zac Brown Band","135","","98"
"June 11, 2016","AC/DC","171","Back In Black",""
"June 11, 2016","Shinedown","null","","159"
"June 11, 2016","Rae Sremmurd","142","SremmLife",""
"June 11, 2016","Various Artists","null","","49"
"June 11, 2016","Zac Brown Band","135","Greatest Hits So Far...",""
"June 11, 2016","Montana Of 300","null","Fire In The Church",""
"June 11, 2016","Rachel Platten","118","Wildfire",""
"June 11, 2016","Five Finger Death Punch","159","Got Your Six",""
"June 11, 2016","Metallica","112","Metallica",""
"June 11, 2016","Queen","89","","96"
"June 11, 2016","Tim McGraw","71","Damn Country Music",""
"June 11, 2016","Kanye West","196","","187"
"June 11, 2016","Carrie Underwood","109","Greatest Hits: Decade #1",""
"June 11, 2016","David Bowie","140","","185"
"June 11, 2016","Laith Al-Saadi","null","The Voice: The Complete Season 10 Collection",""
"June 11, 2016","Charlie Puth","70","Nine Track Mind",""
"June 11, 2016","Blink-182","157","Greatest Hits",""
"June 11, 2016","Sia","147","1000 Forms Of Fear",""
"June 11, 2016","The Beatles","116","","120"
"June 11, 2016","Sturgill Simpson","93","","140"
"June 11, 2016","J. Cole","182","Born Sinner",""
"June 11, 2016","Beyonce","77","","87"
"June 11, 2016","Ariana Grande","null","Dangerous Woman",""
"June 11, 2016","Sick Puppies","null","","92"
"June 11, 2016","Barenaked Ladies","null","BNL Rocks Red Rocks",""
"June 11, 2016","Adele","67","","74"
"June 11, 2016","Fall Out Boy","98","","114"
"June 11, 2016","Eminem","115","","105"
"June 11, 2016","Original Broadway Cast","17","","16"
"June 11, 2016","Chris Stapleton","13","Traveller",""
"June 11, 2016","Luke Bryan","139","Crash My Party",""
"June 11, 2016","Five Finger Death Punch","187","The Wrong Side Of Heaven...Volume 1",""
"June 11, 2016","Journey","96","","93"
"June 11, 2016","Chris Brown","92","","107"
"June 11, 2016","Meek Mill","null","Dreams Worth More Than Money",""
"June 11, 2016","Charlie Puth","70","","78"
"June 11, 2016","Various Artists","50","","59"
"June 11, 2016","Mike Posner","29","At Night, Alone.",""
"June 11, 2016","Luke Bryan","139","","137"
"June 11, 2016","Ariana Grande","null","","2"
